Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Inactive duration (ms),Walking duration (ms)
00:00:00.000-07:00,00:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
00:15:00.000-07:00,00:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
00:30:00.000-07:00,00:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
00:45:00.000-07:00,01:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
01:00:00.000-07:00,01:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
01:15:00.000-07:00,01:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
01:30:00.000-07:00,01:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
01:45:00.000-07:00,02:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
02:00:00.000-07:00,02:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
02:15:00.000-07:00,02:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
02:30:00.000-07:00,02:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
02:45:00.000-07:00,03:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
03:00:00.000-07:00,03:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
03:15:00.000-07:00,03:30:00.000-07:00,,16.296873092651367,,,,0.8791845440864563,0.8791845440864563,0.8791845440864563,,900000,
03:30:00.000-07:00,03:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
03:45:00.000-07:00,04:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
04:00:00.000-07:00,04:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
04:15:00.000-07:00,04:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
04:30:00.000-07:00,04:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
04:45:00.000-07:00,05:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
05:00:00.000-07:00,05:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
05:15:00.000-07:00,05:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
05:30:00.000-07:00,05:45:00.000-07:00,,16.296873092651367,,,,0.611383855342865,0.611383855342865,0.611383855342865,,900000,
05:45:00.000-07:00,06:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
06:00:00.000-07:00,06:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
06:15:00.000-07:00,06:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
06:30:00.000-07:00,06:45:00.000-07:00,,16.296873092651367,,,,1.07335364818573,1.2993228435516357,0.8473844528198242,,900000,
06:45:00.000-07:00,07:00:00.000-07:00,,16.296873092651367,,,,1.2811483144760132,1.2811483144760132,1.2811483144760132,,900000,
07:00:00.000-07:00,07:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
07:15:00.000-07:00,07:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
07:30:00.000-07:00,07:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
07:45:00.000-07:00,08:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
08:00:00.000-07:00,08:15:00.000-07:00,,16.296873092651367,,,,1.1493552923202515,1.1493552923202515,1.1493552923202515,,900000,
08:15:00.000-07:00,08:30:00.000-07:00,3,9.26116944325765,124.47460973262787,,,0.5002226227929627,1.138390302658081,0.250399112701416,246,511451,
08:30:00.000-07:00,08:45:00.000-07:00,,11.367867121107217,28.87171745300293,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,60,627794,
08:45:00.000-07:00,09:00:00.000-07:00,,16.296875103929786,,,,,,,,900000,
09:00:00.000-07:00,09:15:00.000-07:00,2,11.407594881794868,60.25401973724365,,,0.3812982627386153,0.4787548780441284,0.3388727307319641,97,629988,
09:15:00.000-07:00,09:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
09:30:00.000-07:00,09:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
09:45:00.000-07:00,10:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
10:00:00.000-07:00,10:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
10:15:00.000-07:00,10:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
10:30:00.000-07:00,10:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
10:45:00.000-07:00,11:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
11:00:00.000-07:00,11:15:00.000-07:00,,16.296873019771468,,,,,,,,900000,
11:15:00.000-07:00,11:30:00.000-07:00,1,15.310582582111468,51.46697425842285,,,0.3189064711332321,0.3239899277687073,0.31382301449775696,100,577432,63002
11:30:00.000-07:00,11:45:00.000-07:00,,16.296873092651367,,,,,,,7,900000,
11:45:00.000-07:00,12:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
12:00:00.000-07:00,12:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
12:15:00.000-07:00,12:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
12:30:00.000-07:00,12:45:00.000-07:00,,16.296873092651367,,,,,,,3,900000,
12:45:00.000-07:00,13:00:00.000-07:00,,16.296873092651367,,,,,,,9,900000,
13:00:00.000-07:00,13:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
13:15:00.000-07:00,13:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
13:30:00.000-07:00,13:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
13:45:00.000-07:00,14:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
14:00:00.000-07:00,14:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
14:15:00.000-07:00,14:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
14:30:00.000-07:00,14:45:00.000-07:00,,16.296873092651367,6.27646017074585,,,0.36364197731018066,0.36364197731018066,0.36364197731018066,33,900000,
14:45:00.000-07:00,15:00:00.000-07:00,,16.296873092651367,4.393522262573242,,,0.34030184149742126,0.34030184149742126,0.34030184149742126,35,900000,
15:00:00.000-07:00,15:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
15:15:00.000-07:00,15:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
15:30:00.000-07:00,15:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
15:45:00.000-07:00,16:00:00.000-07:00,,16.296873092651367,,,,,,,12,900000,
16:00:00.000-07:00,16:15:00.000-07:00,,16.296873092651367,,,,,,,8,900000,
16:15:00.000-07:00,16:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
16:30:00.000-07:00,16:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
16:45:00.000-07:00,17:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
17:00:00.000-07:00,17:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
17:15:00.000-07:00,17:30:00.000-07:00,5,16.296873092651367,116.74215888977051,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,198,900000,
17:30:00.000-07:00,17:45:00.000-07:00,,16.296873092651367,19.45702624320984,,,0.2759018838405609,0.2759018838405609,0.2759018838405609,74,900000,
17:45:00.000-07:00,18:00:00.000-07:00,2,16.296873092651367,57.74343490600586,,,0.3986366391181946,0.4834502637386322,0.31382301449775696,104,900000,
18:00:00.000-07:00,18:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
18:15:00.000-07:00,18:30:00.000-07:00,,16.29687319554834,,,,,,,,900000,
18:30:00.000-07:00,18:45:00.000-07:00,,16.29687365479339,,,,,,,,900000,
18:45:00.000-07:00,19:00:00.000-07:00,,16.29687365479339,,,,,,,,900000,
19:00:00.000-07:00,19:15:00.000-07:00,5,7.045011973981629,142.47564697265625,,,0.46224159647740054,0.6745474934577942,0.29227468371391296,229,389063,
19:15:00.000-07:00,19:30:00.000-07:00,1,10.677259844059314,48.82501667966351,,,0.4516706655116895,0.6191748380661011,0.2764805853366852,105,589655,
19:30:00.000-07:00,19:45:00.000-07:00,2,12.331229565020797,61.01303797731891,,,0.3645359486471253,0.6201285719871521,0.291881799697876,97,680996,
19:45:00.000-07:00,20:00:00.000-07:00,,16.29687488402093,,,,,,,1,900000,
20:00:00.000-07:00,20:15:00.000-07:00,1,16.296874253384185,60.88166308403015,,,0.43652883859200897,0.5840625166893005,0.31597378849983215,104,296700,
20:15:00.000-07:00,20:30:00.000-07:00,,16.296873607150758,,,,,,,,355613,
20:30:00.000-07:00,20:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
20:45:00.000-07:00,21:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
21:00:00.000-07:00,21:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
21:15:00.000-07:00,21:30:00.000-07:00,,16.296873092651367,,,,,,,,900000,
21:30:00.000-07:00,21:45:00.000-07:00,,16.296873092651367,,,,,,,,900000,
21:45:00.000-07:00,22:00:00.000-07:00,,16.296873092651367,,,,,,,,900000,
22:00:00.000-07:00,22:15:00.000-07:00,,16.296873092651367,,,,,,,,900000,
